County,pct_rur_10,pop_10,pop_00,pop_90,pop_80,pop_70,hsg_10,hsg_00,hsg_90,hsg_80,hsg_70,lat,long,ind_dis,land_sqmi,pop_den,hsg_den,pct_dpop_00,pct_dpop_90,pct_dhsg_80,pct_dhsg_90,pct_dhsg_00,pct_dpop_80,h_sold_07,h_sold_08,h_sold_09,h_sold_10,h_sold_11,h_sold_12,h_sold_13,h_sold_14,h_sold_15,h_sold_16,med_07,med_08,med_09,med_10,med_11,med_12,med_13,med_14,med_15,med_16,fm_cnt_12,fm_cnt_07,lnd_acr_12,lnd_acr_07,avg_acr_12,avg_acr_07,lnd_val_12,lnd_val_07,k_12,k_07,avg_fm_12,avg_fm_07,avg_usd_12,avg_usd_07,fm_val_049_12,fm_val_050_12,fm_val_100_12,fm_val_200_12,fm_val_500_12,fm_val_01k_12,fm_val_02k_12,fm_val_05k_12,fm_val_10k_12,lnd_apx_12,lnd_pct_12,sz_fm_009_12,sz_acr_009_12,sz_fm_010_12,sz_acr_010_12,sz_fm_050_12,sz_acr_050_12,sz_fm_070_12,sz_acr_070_12,sz_fm_100_12,sz_acr_100_12,sz_fm_140_12,sz_acr_140_12,sz_fm_180_12,sz_acr_180_12,sz_fm_220_12,sz_acr_220_12,sz_fm_260_12,sz_acr_260_12,sz_fm_500_12,sz_acr_500_12,sz_fm_01k_12,sz_acr_01k_12,sz_fm_02k_12,sz_acr_02k_12,sz_fm_009_07,sz_acr_009_07,sz_fm_010_07,sz_acr_010_07,sz_fm_050_07,sz_acr_050_07,sz_fm_070_07,sz_acr_070_07,sz_fm_100_07,sz_acr_100_07,sz_fm_140_07,sz_acr_140_07,sz_fm_180_07,sz_acr_180_07,sz_fm_220_07,sz_acr_220_07,sz_fm_260_07,sz_acr_260_07,sz_fm_500_07,sz_acr_500_07,sz_fm_01k_07,sz_acr_01k_07,sz_fm_02k_07,sz_acr_02k_07,cp_fm_12,cp_fm_07,cp_acr_12,cp_acr_07,cp_hvt_fm_12,cp_hvt_fm_07,cp_hvt_acr_12,cp_hvt_acr_07,cp_gz_fm_12,cp_gz_fm_07x,cp_gz_acr_12,cp_gz_acr_07x,cp_ot_fm_12,cp_ot_fm_07,cp_ot_acr_12,cp_ot_acr_07,cp_id_fm_12,cp_id_fm_07,cp_id_acr_12,cp_id_acr_07,cp_fl_fm_12,cp_fl_fm_07,cp_fl_acr_12,cp_fl_acr_07,cp_sm_fm_12,cp_sm_fm_07,cp_sm_acr_12,cp_sm_acr_07,wd_fm_12,wd_fm_07,wd_acr_12,wd_acr_07,wd_p1_fm_12,wd_p1_fm_07,wd_p1_acr_12,wd_p1_acr_07,wd_p0_fm_12,wd_p0_fm_07,wd_p0_acr_12,wd_p0_acr_07,ps_rg_fm_12,ps_rg_fm_07,ps_rg_acr_12,ps_rg_acr_07,bdg_fm_12,bdg_fm_07,bdg_acr_12,bdg_acr_07,pst_fm_12,pst_fm_07,pst_acr_12,pst_acr_07,cnv_fm_12,cnv_fm_07,cnv_acr_12,cnv_acr_07,ins_fm_12,ins_fm_07,ins_acr_12,ins_acr_07,cp_ot_fm_02,cp_ot_acr_02,cp_id_fm_02,cp_id_acr_02,cp_fl_fm_02,cp_fl_acr_02,cp_sm_fm_02,cp_sm_acr_02,wd_fm_02,wd_acr_02,wd_p1_fm_02,wd_p1_acr_02
anderson,34.7,75129,71330,68250,67346,60300,34717,32451,29323,25849,20451,36.2,-84.04,32775.8202301,337.16,222.8,103.0,5.3,4.5,1.3,7.0,10.7,13.4,4,42,21,27,19,3,25,22,26,34,135950.0,176950.0,204000.0,279154,149900.0,171020.0,135000.0,172900.0,174900.0,209250.0,441.0,538.0,35845.0,40135.0,81.0,75.0,441.0,538.0,209899.0,214397.0,475960.0,398508.0,5856.0,5342.0,21.0,28.0,101.0,181.0,63.0,32.0,13.0,2.0,10.0,215784.0,16.6,35.0,43.0,196.0,5676.0,62.0,3598.0,49.0,4082.0,34.0,3993.0,25.0,3765.0,7.0,1398.0,10.0,2333.0,17.0,5889.0,5.0,3426.0,1.0,23023.0,9.0,19748.0,61.0,123.0,234.0,6272.0,74.0,4290.0,43.0,3550.0,54.0,6549.0,24.0,3787.0,10.0,1983.0,8.0,1853.0,28.0,9902.0,2.0,16424.0,9.0,8039.0,26.0,18238.0,308.0,419.0,10163.0,17025.0,293.0,350.0,8933.0,9295.0,23.0,143.0,771.0,6703.0,35.0,64.0,459.0,1027.0,26.0,53.0,368.0,795.0,10.0,18.0,88.0,232.0,3.0,6.0,3.0,13.0,314.0,326.0,10658.0,10799.0,153.0,161.0,3636.0,2891.0,216.0,241.0,7022.0,7908.0,347.0,327.0,13512.0,10515.0,275.0,251.0,1512.0,1796.0,365.0,434.0,17919.0,20109.0,2.0,1.0,320.0,7216.0,2.0,81.0,132115.0,5440.0,80.0,2457.0,72.0,2364.0,14.0,93.0,3.0,16.0,369.0,12974.0,192.0,3790.0
bedford,55.6,45058,37586,30411,27916,25039,18360,14990,12638,10814,8820,35.59,-86.35,4503.07308174,473.64,95.1,38.8,19.9,23.6,8.9,22.5,18.6,16.9,116,100,56,29,17,12,11,36,51,73,140950.0,136250.0,134950.0,128900,124000.0,111950.0,109900.0,122200.0,138200.0,147000.0,1411.0,1554.0,232381.0,231206.0,165.0,149.0,1411.0,1554.0,887879.0,855072.0,629255.0,550239.0,3821.0,3698.0,57.0,68.0,241.0,580.0,234.0,144.0,75.0,10.0,2.0,303128.0,76.7,53.0,278.0,458.0,12417.0,157.0,9092.0,153.0,12877.0,154.0,17752.0,89.0,14038.0,86.0,17092.0,45.0,10564.0,109.0,37054.0,72.0,46209.0,29.0,37713.0,6.0,17295.0,109.0,608.0,566.0,15004.0,160.0,9320.0,146.0,12197.0,126.0,14880.0,85.0,13539.0,68.0,13406.0,66.0,15768.0,138.0,48458.0,55.0,36057.0,29.0,37575.0,6.0,14394.0,1028.0,1144.0,88563.0,106886.0,951.0,944.0,70961.0,63198.0,118.0,406.0,12989.0,34975.0,125.0,169.0,4613.0,8713.0,110.0,106.0,3324.0,4150.0,21.0,74.0,1289.0,4563.0,4.0,7.0,3.0,16.0,852.0,836.0,41335.0,36152.0,576.0,586.0,26459.0,20856.0,397.0,391.0,14876.0,15296.0,1086.0,999.0,95015.0,80446.0,921.0,765.0,7468.0,7722.0,1178.0,1302.0,134463.0,136277.0,21.0,29.0,655.0,1541.0,50.0,32.0,18499.0,9883.0,215.0,6312.0,191.0,5373.0,37.0,412.0,1.0,12.0,859.0,38296.0,610.0,22449.0
benton,78.5,16489,16537,14524,14901,12126,8975,8595,7107,6526,4637,36.23,-88.08,6487.14131773,394.14,41.8,22.8,-0.3,13.9,-2.5,4.4,20.9,8.9,2,7,3,3,1,1,0,3,0,1,249750.0,163500.0,108000.0,127000,300000.0,120000.0,0.0,191000.0,0.0,110000.0,463.0,500.0,87902.0,72522.0,190.0,145.0,463.0,500.0,197008.0,162086.0,425503.0,324173.0,2241.0,2235.0,27.0,65.0,88.0,174.0,75.0,22.0,8.0,4.0,4.0,252255.0,34.8,11.0,57.0,104.0,2830.0,57.0,3333.0,58.0,4801.0,51.0,5987.0,41.0,6557.0,31.0,6121.0,13.0,3066.0,66.0,22661.0,22.0,15846.0,4.0,4259.0,5.0,12384.0,27.0,128.0,134.0,3594.0,64.0,3753.0,53.0,4311.0,75.0,8703.0,30.0,4627.0,23.0,4574.0,20.0,3242.0,56.0,20494.0,11.0,7492.0,6.0,7507.0,1.0,36411.0,359.0,394.0,38546.0,37596.0,254.0,259.0,25166.0,16651.0,57.0,125.0,5132.0,11337.0,137.0,165.0,8248.0,9608.0,127.0,142.0,7381.0,8738.0,12.0,27.0,816.0,870.0,3.0,4.0,51.0,9.0,334.0,298.0,23867.0,17270.0,148.0,119.0,4487.0,3164.0,256.0,238.0,19380.0,14106.0,279.0,260.0,22644.0,14737.0,290.0,209.0,2845.0,2919.0,321.0,350.0,32263.0,29238.0,96.0,124.0,5763.0,7216.0,20.0,4.0,12205.0,2855.0,173.0,6961.0,167.0,6895.0,13.0,66.0,2.0,6.0,346.0,19621.0,175.0,5589.0
bledsoe,100.0,12876,12367,9669,9478,7643,5718,5142,3771,3406,2357,35.6,-85.19,7292.58066901,406.42,31.7,14.1,4.1,27.9,2.0,11.2,36.4,10.7,4,0,1,0,0,1,0,1,0,0,140500.0,0.0,104000.0,0,0.0,195000.0,0.0,129800.0,0.0,0.0,579.0,580.0,102255.0,92043.0,177.0,159.0,579.0,580.0,358502.0,293147.0,619174.0,505425.0,3506.0,3185.0,36.0,43.0,108.0,223.0,89.0,51.0,22.0,3.0,4.0,260112.0,39.3,21.0,95.0,144.0,4071.0,71.0,4004.0,63.0,5176.0,83.0,9545.0,55.0,8553.0,31.0,6184.0,26.0,6275.0,54.0,19053.0,15.0,10126.0,10.0,12258.0,6.0,16915.0,23.0,135.0,145.0,4256.0,41.0,2357.0,75.0,6312.0,88.0,10224.0,59.0,9395.0,28.0,5571.0,32.0,7663.0,61.0,21518.0,21.0,13589.0,5.0,10449.0,2.0,105168.0,461.0,494.0,42551.0,43041.0,409.0,414.0,32935.0,24986.0,65.0,166.0,7418.0,14606.0,72.0,82.0,2198.0,3449.0,65.0,63.0,1825.0,2693.0,14.0,26.0,373.0,756.0,5.0,4.0,7.0,12.0,345.0,319.0,20898.0,17045.0,178.0,205.0,4637.0,5456.0,244.0,189.0,16261.0,11589.0,436.0,368.0,36056.0,28944.0,350.0,257.0,2750.0,3013.0,477.0,485.0,48111.0,49006.0,6.0,20.0,217.0,453.0,15.0,6.0,2419.0,1105.0,91.0,4960.0,84.0,4771.0,11.0,189.0,6.0,6.0,318.0,21127.0,182.0,6505.0
blount,32.6,123010,105823,85969,77770,63744,55266,47059,36532,30836,21835,35.79,-83.97,32816.057214399996,558.71,220.2,98.9,16.2,23.1,10.5,17.4,28.8,18.5,59,181,107,122,53,114,185,166,194,243,198500.0,193500.0,159900.0,169900,174000.0,180400.0,209900.0,214950.0,219900.0,222600.0,980.0,1154.0,100717.0,98403.0,103.0,85.0,980.0,1154.0,686026.0,547117.0,700027.0,474105.0,6811.0,5560.0,45.0,31.0,111.0,376.0,271.0,94.0,33.0,16.0,3.0,357569.0,28.2,73.0,88.0,437.0,11618.0,92.0,5328.0,107.0,8765.0,90.0,10370.0,44.0,6848.0,30.0,5951.0,24.0,5548.0,57.0,20334.0,17.0,11619.0,7.0,9225.0,2.0,12484.0,101.0,549.0,528.0,13548.0,138.0,8123.0,117.0,9592.0,85.0,9866.0,63.0,9881.0,23.0,4565.0,32.0,7578.0,45.0,15643.0,15.0,9635.0,7.0,9423.0,6.0,58422.0,735.0,904.0,42753.0,51547.0,691.0,759.0,34544.0,33535.0,66.0,319.0,5618.0,14705.0,102.0,136.0,2591.0,3307.0,84.0,89.0,1786.0,2074.0,22.0,51.0,969.0,1227.0,2.0,4.0,3.0,6.0,567.0,596.0,18733.0,15338.0,328.0,380.0,6504.0,6929.0,331.0,341.0,12229.0,8409.0,720.0,767.0,35526.0,27704.0,650.0,512.0,3705.0,3814.0,769.0,979.0,47648.0,49338.0,8.0,344.0,328.0,6158.0,16.0,10.0,4492.0,2577.0,163.0,2558.0,143.0,2234.0,28.0,2231.0,2.0,50.0,712.0,17460.0,424.0,8212.0
bradley,33.0,98963,87965,73712,67547,50686,41395,36820,29562,24705,16446,35.28,-84.76,11929.3992815,328.76,301.0,125.9,12.5,19.3,9.1,12.4,24.6,19.7,169,173,86,85,86,78,102,89,126,178,176000.0,181500.0,172500.0,156000,150650.0,152000.0,169250.0,192900.0,189900.0,196107.5,807.0,959.0,86585.0,95602.0,107.0,100.0,807.0,959.0,470919.0,459245.0,583543.0,478879.0,5439.0,4804.0,26.0,63.0,119.0,339.0,139.0,91.0,26.0,1.0,3.0,210408.0,41.2,42.0,214.0,367.0,9874.0,81.0,4756.0,70.0,5659.0,77.0,8832.0,45.0,6814.0,36.0,7120.0,20.0,4697.0,35.0,12442.0,26.0,15944.0,8.0,10233.0,9.0,33999.0,86.0,378.0,444.0,11234.0,127.0,7268.0,71.0,5759.0,64.0,7407.0,39.0,6061.0,19.0,3613.0,17.0,4059.0,61.0,20662.0,21.0,13542.0,8.0,10105.0,2.0,6957.0,531.0,686.0,28570.0,40542.0,494.0,536.0,24121.0,24925.0,48.0,259.0,1931.0,12699.0,87.0,100.0,2518.0,2918.0,73.0,75.0,2215.0,2283.0,17.0,33.0,1060.0,635.0,1.0,5.0,51.0,8.0,495.0,455.0,18490.0,19111.0,230.0,246.0,5732.0,7528.0,330.0,287.0,12758.0,11583.0,613.0,610.0,35805.0,32462.0,510.0,435.0,3720.0,3487.0,637.0,776.0,43468.0,52689.0,11.0,9.0,495.0,292.0,16.0,6.0,2451.0,1145.0,90.0,2385.0,80.0,2229.0,13.0,156.0,6.0,30.0,473.0,23121.0,283.0,7998.0
campbell,55.0,40716,39854,35079,34923,26045,19966,18527,14817,13250,8916,36.26,-84.3,31491.241038300002,480.19,84.8,41.6,2.2,13.6,0.4,7.8,25.0,11.8,59,43,21,10,9,2,2,6,8,13,285000.0,215000.0,154900.0,148300,150600.0,310000.0,169150.0,154500.0,204450.0,177390.0,370.0,404.0,33487.0,34174.0,91.0,85.0,370.0,404.0,125121.0,118697.0,338164.0,293806.0,3736.0,3473.0,29.0,49.0,78.0,144.0,50.0,14.0,6.0,5.0,13.0,307316.0,10.9,15.0,68.0,140.0,3998.0,49.0,2915.0,51.0,4192.0,47.0,5394.0,24.0,3655.0,22.0,4397.0,5.0,1195.0,12.0,4007.0,5.0,3666.0,3.0,6177.0,2.0,42445.0,18.0,73.0,159.0,4284.0,70.0,4137.0,51.0,4173.0,40.0,4664.0,30.0,4596.0,11.0,2134.0,3.0,717.0,13.0,4337.0,9.0,5059.0,15.0,29246.0,19.0,17360.0,306.0,322.0,11486.0,14872.0,282.0,272.0,9536.0,8831.0,28.0,117.0,1057.0,4764.0,58.0,44.0,893.0,1277.0,51.0,26.0,726.0,410.0,10.0,24.0,284.0,867.0,2.0,5.0,7.0,11.0,236.0,254.0,6973.0,6483.0,151.0,169.0,2274.0,2568.0,156.0,153.0,4699.0,3915.0,294.0,289.0,13992.0,12095.0,220.0,137.0,1036.0,724.0,310.0,352.0,17323.0,19427.0,1.0,1.0,72.0,292.0,4.0,1.0,478.0,4400.0,73.0,1091.0,63.0,698.0,22.0,393.0,3.0,145.0,245.0,8297.0,160.0,4235.0
cannon,81.1,13801,12826,10467,10234,8467,6037,5420,4368,4002,3075,35.94,-86.09,3725.96614387,265.64,52.0,22.7,7.6,22.5,2.3,11.4,24.1,9.1,23,16,12,9,5,3,5,7,7,15,148000.0,152750.0,146750.0,133300,149900.0,107500.0,157900.0,154000.0,156900.0,175000.0,717.0,880.0,96262.0,116720.0,134.0,133.0,717.0,880.0,298089.0,377306.0,415744.0,428757.0,3097.0,3233.0,42.0,73.0,161.0,307.0,87.0,27.0,16.0,3.0,1.0,170006.0,56.6,29.0,123.0,234.0,6078.0,75.0,4303.0,86.0,7259.0,86.0,9812.0,54.0,8371.0,43.0,8496.0,20.0,4670.0,64.0,22007.0,20.0,13764.0,3.0,4445.0,3.0,6934.0,60.0,86.0,269.0,7003.0,86.0,4940.0,101.0,8391.0,107.0,12490.0,61.0,9436.0,47.0,9444.0,42.0,9837.0,68.0,24646.0,32.0,19191.0,6.0,8532.0,1.0,130977.0,495.0,601.0,38470.0,48624.0,447.0,482.0,33938.0,31440.0,54.0,202.0,2867.0,14587.0,63.0,81.0,1665.0,2597.0,50.0,59.0,1381.0,1655.0,17.0,26.0,284.0,942.0,5.0,11.0,7.0,16.0,473.0,531.0,28266.0,30212.0,272.0,344.0,13616.0,19024.0,280.0,271.0,14650.0,11188.0,487.0,604.0,26589.0,34738.0,420.0,346.0,2937.0,3146.0,547.0,749.0,43072.0,68349.0,5.0,11.0,137.0,513.0,26.0,29.0,14902.0,11683.0,104.0,2784.0,87.0,2438.0,26.0,346.0,2.0,15.0,567.0,30387.0,387.0,17462.0
carroll,83.1,28522,29473,27514,28285,25741,13184,13055,11783,11306,9401,36.13,-88.51,20598.181770099996,599.25,47.6,22.0,-3.2,7.1,-2.7,1.0,10.8,4.2,1,6,0,3,0,0,0,0,3,0,54000.0,170250.0,0.0,165000,0.0,0.0,0.0,0.0,192000.0,0.0,732.0,971.0,177931.0,179703.0,243.0,185.0,732.0,971.0,435896.0,456647.0,595487.0,470286.0,2450.0,2541.0,50.0,101.0,248.0,232.0,41.0,20.0,17.0,12.0,11.0,383519.0,46.4,16.0,110.0,213.0,6475.0,87.0,4991.0,83.0,6873.0,92.0,10619.0,66.0,10447.0,41.0,8033.0,35.0,8176.0,41.0,13391.0,26.0,16191.0,14.0,17673.0,18.0,74952.0,36.0,170.0,344.0,9920.0,101.0,5809.0,122.0,9974.0,93.0,10966.0,62.0,9690.0,59.0,11707.0,26.0,6149.0,70.0,23328.0,30.0,19157.0,11.0,15183.0,17.0,57650.0,572.0,796.0,121429.0,121978.0,403.0,520.0,104241.0,91842.0,67.0,233.0,4118.0,12413.0,240.0,286.0,13070.0,17723.0,229.0,262.0,12633.0,14144.0,21.0,42.0,558.0,4726.0,1.0,1.0,5.0,5.0,493.0,534.0,33288.0,32398.0,188.0,211.0,5822.0,6152.0,382.0,419.0,27466.0,26246.0,380.0,413.0,18122.0,17142.0,478.0,498.0,5092.0,8185.0,432.0,600.0,28062.0,35707.0,206.0,314.0,11211.0,17143.0,52.0,70.0,67428.0,56907.0,342.0,15229.0,330.0,14790.0,19.0,439.0,11.0,70.0,576.0,36829.0,288.0,8978.0
carter,41.0,57424,56742,51505,50205,43259,27746,25920,21779,19315,14721,36.33,-82.23,24372.8834957,341.2,168.3,81.3,1.2,10.2,2.6,7.0,19.0,12.8,45,43,20,15,7,5,7,9,9,13,121000.0,127000.0,155000.0,160000,140000.0,99000.0,148000.0,144900.0,144000.0,143000.0,493.0,516.0,40266.0,39374.0,82.0,76.0,493.0,516.0,210899.0,159116.0,427786.0,308364.0,5238.0,4041.0,27.0,43.0,106.0,187.0,88.0,32.0,8.0,2.0,3.0,218370.0,18.4,40.0,205.0,215.0,5633.0,64.0,3673.0,41.0,3449.0,52.0,6168.0,31.0,4835.0,17.0,3423.0,9.0,2143.0,16.0,5308.0,8.0,5429.0,7.0,3086.0,8.0,20120.0,46.0,468.0,259.0,6986.0,57.0,3276.0,52.0,4321.0,28.0,3265.0,29.0,4584.0,15.0,2997.0,8.0,1888.0,12.0,4494.0,9.0,6150.0,1.0,15183.0,3.0,47246.0,356.0,401.0,12381.0,18252.0,343.0,347.0,10408.0,11283.0,32.0,133.0,984.0,5556.0,55.0,74.0,989.0,1413.0,46.0,57.0,809.0,848.0,14.0,30.0,180.0,565.0,1.0,5.0,5.0,9.0,337.0,327.0,10857.0,9312.0,220.0,212.0,5023.0,4836.0,187.0,174.0,5834.0,4476.0,393.0,332.0,15848.0,10858.0,259.0,180.0,1180.0,952.0,411.0,419.0,21855.0,21250.0,1.0,311.0,9095.0,312.0,12.0,9.0,831.0,302.0,71.0,1010.0,68.0,972.0,7.0,38.0,3.0,12.0,331.0,10987.0,196.0,3897.0
