,County,Land/sq.mi,Popul_Dens,Hous_Dens,Pop%00-10,Pop%90-00,Hous%80-90,Hous%00-10,Hous%90-00,Hous%80-90
2,anderson,337.16,222.8,103.0,5.3,4.5,1.3,7.0,10.7,13.4
3,bedford,473.64,95.1,38.8,19.9,23.6,8.9,22.5,18.6,16.9
4,benton,394.14,41.8,22.8,-0.3,13.9,-2.5,4.4,20.9,8.9
5,bledsoe,406.42,31.7,14.1,4.1,27.9,2.0,11.2,36.4,10.7
6,blount,558.71,220.2,98.9,16.2,23.1,10.5,17.4,28.8,18.5
7,bradley,328.76,301.0,125.9,12.5,19.3,9.1,12.4,24.6,19.7
8,campbell,480.19,84.8,41.6,2.2,13.6,0.4,7.8,25.0,11.8
9,cannon,265.64,52.0,22.7,7.6,22.5,2.3,11.4,24.1,9.1
10,carroll,599.25,47.6,22.0,-3.2,7.1,-2.7,1.0,10.8,4.2
11,carter,341.2,168.3,81.3,1.2,10.2,2.6,7.0,19.0,12.8
12,cheatham,302.44,129.3,51.8,8.9,32.3,25.6,16.0,31.2,37.6
13,chester,285.74,60.0,24.4,10.2,21.2,0.7,13.0,25.0,10.6
14,claiborne,434.58,74.1,34.2,7.9,14.3,6.3,12.0,23.8,14.1
15,clay,236.54,33.2,18.1,-1.4,10.2,-5.7,8.2,18.5,10.8
16,cocke,434.57,82.1,40.2,6.2,15.2,1.2,10.2,29.0,8.6
17,coffee,428.96,123.1,54.6,10.0,19.0,5.3,13.0,23.6,12.0
18,crockett,265.53,54.9,24.2,0.4,8.6,-10.5,4.7,11.2,-2.4
19,cumberland,681.03,82.3,41.3,19.8,34.7,21.1,25.4,41.5,44.2
20,davidson,504.03,1243.3,563.4,10.0,11.6,6.9,12.3,10.4,22.2
21,decatur,333.84,35.2,20.6,0.2,12.0,-3.5,6.6,20.6,9.6
22,dekalb,304.35,61.5,30.9,7.5,21.3,5.7,11.8,25.6,10.1
23,dickson,489.9,101.4,42.5,15.1,23.1,16.7,18.2,24.5,27.0
24,dyer,512.33,74.8,32.6,2.8,7.0,0.6,3.6,12.1,7.9
25,fayette,704.79,54.5,22.2,33.4,12.7,1.0,39.8,23.0,11.8
26,fentress,498.61,36.0,18.0,8.0,13.3,-1.1,17.9,24.2,9.2
27,franklin,554.54,74.0,33.7,4.5,13.1,8.6,11.2,22.6,18.4
28,gibson,602.74,82.4,36.5,3.2,4.0,-6.4,4.5,7.3,0.3
29,giles,610.93,48.3,22.7,0.1,14.4,4.5,5.6,21.1,13.3
30,grainger,280.6,80.7,38.8,9.7,20.8,2.1,11.9,29.7,5.9
31,greene,622.16,110.6,51.5,9.4,12.6,2.6,13.9,20.8,10.1
32,grundy,360.53,38.0,17.7,-4.4,7.3,-3.1,1.8,21.9,0.4
33,hamblen,161.18,388.0,167.3,7.6,15.2,2.4,9.2,20.4,11.1
34,hamilton,542.43,620.3,278.6,9.3,7.8,-0.7,12.2,9.9,11.2
35,hancock,222.34,30.7,16.3,0.6,0.7,-2.1,10.6,13.5,7.6
36,hardeman,667.77,40.8,16.2,-3.0,20.2,-2.1,1.5,16.6,9.1
37,hardin,577.32,45.1,24.2,1.8,13.0,1.6,8.9,24.6,14.8
38,hawkins,486.98,116.7,55.2,6.1,20.2,1.9,10.1,30.0,10.4
39,haywood,533.11,35.2,15.6,-5.1,1.9,-4.3,2.8,8.2,6.1
40,henderson,520.07,53.4,24.6,8.8,16.8,2.1,11.6,23.4,11.8
41,henry,562.1,57.5,30.3,3.9,11.6,-2.7,8.1,14.6,2.1
42,hickman,612.5,40.3,16.8,10.7,33.1,10.6,15.8,33.7,18.2
43,houston,200.29,42.1,20.9,4.2,15.2,2.1,7.4,26.5,10.2
44,humphreys,530.98,34.9,16.7,3.4,13.4,-0.9,4.5,18.9,9.6
45,jackson,308.32,37.7,19.0,6.0,18.1,-1.1,13.2,22.4,13.9
46,jefferson,274.08,187.6,85.7,16.1,34.2,5.5,21.6,36.3,15.9
47,johnson,298.47,61.1,30.0,4.3,27.1,0.2,13.7,29.4,13.1
48,knox,508.22,850.5,383.6,13.1,13.8,5.0,13.7,19.4,14.1
49,lake,165.78,47.2,15.7,-1.5,11.6,-4.4,-4.3,4.1,-13.0
50,lauderdale,471.99,58.9,23.8,2.6,15.4,-4.3,6.6,13.1,0.8
51,lawrence,617.13,67.8,29.5,4.9,13.1,3.5,8.1,18.2,13.5
52,lewis,282.09,43.1,19.4,7.0,22.9,-4.7,13.5,22.3,21.4
53,lincoln,570.34,58.5,26.7,6.4,11.3,6.3,8.9,17.6,15.6
54,loudon,229.22,211.8,94.8,24.2,25.1,9.5,25.7,33.0,19.9
55,mcminn,430.12,121.5,54.3,6.6,15.6,1.2,7.9,22.8,11.5
56,mcnairy,562.86,46.3,21.2,5.8,10.0,-0.5,6.4,15.3,8.0
57,macon,307.14,72.4,32.1,9.1,28.2,1.3,10.9,29.3,12.8
58,madison,557.12,176.4,75.2,7.0,17.8,4.6,9.6,20.1,10.3
59,marion,498.16,56.7,26.0,1.7,11.7,1.8,6.7,21.3,10.9
60,marshall,375.46,81.5,34.9,14.4,24.3,9.3,17.3,25.5,16.5
61,maury,613.14,132.0,57.5,16.5,26.8,7.3,22.9,28.7,14.1
62,meigs,195.12,60.2,28.8,6.0,38.0,8.1,8.5,40.6,23.1
63,monroe,635.56,70.0,32.7,14.3,27.6,6.4,20.2,35.0,16.4
64,montgomery,539.18,319.6,130.0,27.9,34.1,20.6,34.4,40.1,25.3
65,moore,129.22,49.2,22.6,10.8,21.6,4.7,15.9,31.5,14.6
66,morgan,522.18,42.1,17.1,11.3,14.2,4.2,15.6,20.9,7.7
67,obion,544.73,58.4,26.9,-2.0,2.3,-3.2,1.2,8.5,2.3
68,overton,433.48,50.9,23.7,9.8,14.1,0.3,12.3,24.1,13.2
69,perry,414.73,19.1,11.1,3.7,15.4,8.2,11.8,27.6,13.5
70,pickett,162.98,31.2,21.2,2.7,8.7,4.4,17.1,31.2,20.7
73,polk,434.68,38.7,18.4,4.8,17.6,0.3,8.4,30.2,11.2
74,putnam,401.1,180.3,79.5,16.1,21.3,7.7,18.4,25.7,20.3
75,rhea,315.38,100.9,45.5,12.0,16.7,0.4,14.3,21.3,10.4
76,roane,360.71,150.2,71.3,4.4,9.9,-2.5,10.0,14.9,8.6
77,robertson,476.29,139.2,54.8,21.8,31.2,12.1,24.2,32.7,18.9
78,rutherford,619.36,424.0,166.2,44.3,53.5,41.1,45.8,54.3,49.8
