,County,Houses_sold_2007,Houses_sold_2008,Houses_sold_2009,Houses_sold_2010,Houses_sold_2011,Houses_sold_2012,Houses_sold_2013,Houses_sold_2014,Houses_sold_2015,Houses_sold_2016,Median_Price_2007,Median_Price_2008,Median_Price_2009,Median_Price_2010,Median_Price_2011,Median_Price_2012,Median_Price_2013,Median_Price_2014,Median_Price_2015,Median_Price_2016
4,anderson,4,42,21,27,19,3,25,22,26,34,135950,176950,204000,279154,149900,171020,135000,172900,174900,209250
5,bedford,116,100,56,29,17,12,11,36,51,73,140950,136250,134950,128900,124000,111950,109900,122200,138200,147000
6,benton,2,7,3,3,1,1,0,3,0,1,249750,163500,108000,127000,300000,120000,0,191000,0,110000
7,bledsoe,4,0,1,0,0,1,0,1,0,0,140500,0,104000,0,0,195000,0,129800,0,0
8,blount,59,181,107,122,53,114,185,166,194,243,198500,193500,159900,169900,174000,180400,209900,214950,219900,222600
9,bradley,169,173,86,85,86,78,102,89,126,178,176000,181500,172500,156000,150650,152000,169250,192900,189900,196107.5
10,campbell,59,43,21,10,9,2,2,6,8,13,285000,215000,154900,148300,150600,310000,169150,154500,204450,177390
11,cannon,23,16,12,9,5,3,5,7,7,15,148000,152750,146750,133300,149900,107500,157900,154000,156900,175000
12,carroll,1,6,0,3,0,0,0,0,3,0,54000,170250,0,165000,0,0,0,0,192000,0
13,carter,45,43,20,15,7,5,7,9,9,13,121000,127000,155000,160000,140000,99000,148000,144900,144000,143000
14,cheatham,35,79,30,11,21,13,10,30,39,41,190000,199500,185396.5,145000,150000,207000,194121,196450,200000,240850
15,chester,23,35,35,32,21,14,17,9,10,15,123000,119900,111000,115950,124500,125950,122900,128500,136700,134900
16,claiborne,5,27,15,14,9,5,8,7,12,15,119000,153000,130000,130925,123000,150000,132500,154900,145400,166150
17,clay,2,2,0,1,0,1,0,0,0,0,92300,33000,0,157000,0,107000,0,0,0,0
18,cocke,17,15,15,4,5,3,4,8,9,7,144900,174900,135500,139950,130000,147000,183150,169550,157300,143000
19,coffee,59,104,43,25,22,26,32,45,71,103,147000,149500,134500,174900,190000,228450,130962.5,145000,138000,132900
20,crockett,12,9,4,2,3,10,6,8,11,12,118500,106750,105565,110250,115000,115250,123900,127400,124500,138900
21,cumberland,124,177,83,62,57,44,46,55,58,76,208750,189900,144000,139450,154000,160250,176000,175900,185750,180000
22,davidson,2610,2004,1389,747,821,912,1176,1493,2597,2889,204872,191941.5,188716,174710,185652,198964.5,257775,290300,331825,340000
23,decatur,5,9,5,1,0,1,1,0,1,2,159000,124900,162000,115000,0,92000,165000,0,35000,80500
24,dekalb,20,15,14,9,10,4,8,9,6,11,145000,200000,433787.5,130000,160000,114500,105500,119900,161900,125500
25,dickson,75,96,59,35,33,33,37,49,72,100,152900,145500,139900,130000,152500,152500,159900,168275,197450,192500
26,dyer,25,34,22,11,14,6,17,13,25,20,160000,160522.5,152750,195500,177000,145950,174900,215000,193800,178450
27,fayette,264,220,48,47,65,89,125,110,147,147,223190,258000,234225,199900,190400,196750,229000,231450,249900,243000
28,fentress,12,22,14,16,12,10,5,7,4,11,127500,129750,110950,118500,112000,108250,119900,114000,122000,120000
29,franklin,35,34,22,10,7,14,22,26,22,27,155000,138500,149500,156400,172000,121900,120950,129000,162652.5,152500
30,gibson,149,150,91,80,69,53,60,48,42,46,156500,151200,151200,138990,139900,148000,149450,164900,187400,209950
31,giles,14,11,14,9,8,3,6,8,10,12,112500,103000,121500,145000,108000,99000,154500,120600,137194.5,137500
32,grainger,16,12,7,2,2,1,3,4,9,9,200000,173960,146000,142500,171000,150000,161000,136000,160000,154100
33,greene,70,61,33,29,22,12,15,13,16,22,150950,136600,133500,148320,146263.5,151400,169000,147000,165000,193250
34,grundy,1,6,0,2,1,1,3,1,1,0,205000,104500,0,139500,280000,120000,45000,15000,163000,0
35,hamblen,78,71,35,20,8,15,22,22,30,29,175950,174900,155000,159650,123900,154900,187050,169100,163250,169000
36,hamilton,414,620,164,451,292,580,603,632,674,784,169150,211500,212000,209900,212000,245510,259980,275000,279950,290000
37,hancock,2,0,1,0,1,0,0,0,0,0,61250,0,69900,0,67500,0,0,0,0,0
38,hardeman,7,8,4,4,1,2,1,5,1,3,131500,122500,123500,127620,75000,124025,78000,119000,154000,169100
39,hardin,23,37,23,16,17,10,9,6,6,21,125000,130000,119800,171750,154500,145358.5,118600,142450,268500,133000
40,hawkins,36,48,33,22,23,17,16,7,5,9,158609,142250,148000,168000,140000,129000,167500,140000,171600,168000
41,haywood,10,5,5,8,0,3,2,1,4,1,106750,181500,115000,125000,0,260000,144000,259000,124750,123000
42,henderson,26,18,15,13,6,7,3,3,7,5,105825,116250,113200,111050,150750,115750,149900,149000,151500,169900
43,henry,13,26,19,16,9,9,6,10,20,14,179000,162000,142000,169500,131000,127150,130000,125150,149000,134975
44,hickman,10,11,9,2,1,0,3,2,6,2,157450,172500,156000,233600,130000,0,143900,151000,135500,145950
45,houston,2,2,3,3,0,1,1,2,1,2,115500,147500,110000,116170,0,108000,97000,173950,150000,130000
46,humphreys,15,14,6,5,3,0,2,5,0,2,129000,91000,152750,90000,143400,0,159000,108500,0,80750
47,jackson,2,3,0,0,1,2,1,1,0,1,150000,143236,0,0,162000,104450,45000,97900,0,155200
48,jefferson,57,72,32,28,12,10,25,40,56,46,131450,139700,153600,149950,136450,160000,134900,135580,140648,139950
49,johnson,6,10,4,4,1,0,1,1,0,0,212000,148750,154500,140000,365000,0,40000,126000,0,0
50,knox,970,663,370,574,333,507,354,694,875,932,208212.5,235600,206515.5,198500,200000,236186,234900,235065.5,247900,274052.5
51,lake,4,1,1,1,1,0,0,0,1,0,83000,70000,112900,76500,75500,0,0,0,132150,0
52,lauderdale,24,12,3,1,0,0,0,1,0,1,121500,114000,103000,109000,0,0,0,149500,0,37500
53,lawrence,29,29,17,12,8,7,9,13,23,21,133000,129400,150000,140000,124000,127000,164000,137500,135000,169000
54,lewis,5,7,5,2,1,0,0,1,0,1,123100,109000,126000,151700,89000,0,0,124407,0,75000
55,lincoln,69,81,52,37,26,19,23,25,24,20,95500,118000,111250,124900,106450,120000,139900,149900,143250,130500
56,loudon,191,100,94,82,33,46,55,77,116,153,275900,252500,235000,227600,210900,234989.5,202900,283340,277934.5,288912
57,macon,34,54,30,33,20,22,20,40,16,33,90900,106067.5,88000,96000,106900,96000,122200,108802.5,114950,138000
58,madison,199,184,143,120,106,119,152,124,101,122,186900,194552.5,159900,164750,179450,194500,191200,199400,173400,172500
59,marion,19,21,15,12,7,6,7,11,12,9,162000,149000,130800,134500,129900,159550,130000,145500,147800,140000
60,marshall,78,119,57,31,28,10,23,53,77,127,129201,115900,102000,106000,100750,96250,108900,127650,153900,169000
61,maury,343,301,249,141,99,132,178,238,406,525,188506,190333,173720,160000,164990,172350,180000,204202,208105,232753
62,mcminn,47,43,30,14,6,7,4,10,14,19,147500,160000,147500,137500,115250,146000,75237.5,167500,186500,150000
63,mcnairy,11,11,9,5,6,8,8,4,5,2,92400,99900,146000,138500,147715,134000,152500,121750,142000,149000
64,meigs,6,7,6,0,0,2,1,1,1,1,139312.5,128000,142750,0,0,190250,85000,109900,140000,176270
65,monroe,80,55,19,9,4,1,3,2,1,10,169900,180500,140000,125000,129950,103000,140000,216944,141000,166950
66,montgomery,1065,903,988,832,1018,1147,958,458,782,1013,163500,170000,165702,182000,185900,187700,189900,185700,207500,212000
67,moore,7,5,3,1,0,0,0,0,3,2,145000,99500,100400,455000,0,0,0,0,139000,192250
68,morgan,9,11,5,5,3,3,4,2,0,0,139900,115000,67500,165000,79000,88000,84000,84750,0,0
69,obion,8,6,7,7,0,5,4,1,4,4,117500,166500,122000,175000,0,163000,188750,169000,170200,132950
70,overton,28,32,28,7,3,8,9,13,10,21,147450,147500,130000,140000,114000,123500,132000,137500,140500,149000
71,perry,0,1,3,0,1,0,0,0,0,0,0,33000,43500,0,190000,0,0,0,0,0
72,pickett,2,3,4,1,1,1,0,0,0,1,180000,153000,175450,134000,145000,155000,0,0,0,265000
73,polk,2,9,2,1,0,1,0,0,2,2,115400,182000,77250,317500,0,342900,0,0,175750,112500
74,putnam,123,161,84,68,55,57,65,75,64,108,159500,169000,152000,160750,151500,170000,175000,189000,170450,188950
75,rhea,42,33,31,25,10,7,12,17,18,24,138900,137900,145000,139000,185950,168000,153000,159900,139600,153700
76,roane,32,33,13,6,6,2,1,2,1,2,200940.5,252500,170000,132450,220000,94250,79900,191250,95000,122500
77,robertson,257,185,108,76,16,46,36,77,88,126,179900,176500,160185,154550,143372.5,152795,159975,198000,209752,244950
78,rutherford,1490,884,805,624,628,826,1090,565,1627,1822,190000,187316.5,168900,175750,188000,195000,214900,234900,236000,260970
79,scott,15,6,4,4,3,2,3,2,9,4,138000,104000,122000,86000,80000,128750,100000,154434.5,132000,169250
80,sequatchie,3,11,27,1,1,2,1,0,3,1,130000,135000,85000,115000,132000,114750,147500,0,90900,250000
81,sevier,334,216,111,65,57,49,80,124,111,172,188371,175450,170000,159900,153900,154900,146387.5,142322.5,158500,187450
82,shelby,4,914,482,567,563,639,741,152,139,793,175253,243500,209995,195000,200710,231615,236368,233190,269950,282000
83,smith,15,11,10,5,10,6,4,6,4,7,120000,118000,139450,125000,153404,129400,152850,104950,139382.5,142000
84,stewart,14,6,9,9,3,0,5,3,1,1,157100,155000,154747,125000,130000,0,135000,194500,146000,149000
85,sullivan,103,200,105,71,79,84,90,111,80,75,167900,181450,168000,177900,185900,187400,189900,225000,219450,260000
86,sumner,647,711,400,396,348,403,623,605,755,992,248400,236742,211825,206940,209995,221500,246445,255070,269900,283003
87,tipton,206,159,81,50,32,44,52,57,49,75,195600,211900,201000,219000,239000,219250,260000,259900,248200,262300
88,trousdale,16,22,7,5,4,3,4,6,13,21,152500,140500,139000,142000,113331,146400,200750,135900,163858,151100
89,unicoi,0,8,6,0,2,2,0,1,4,3,0,127950,150500,0,186000,187000,0,113900,162000,139900
90,union,7,12,9,1,0,6,11,9,12,15,153537,157450,159900,310000,0,153450,139464,134000,181000,144000
91,van_buren,0,4,2,1,2,1,0,0,2,1,0,212500,107000,265000,142500,279900,0,0,104500,113000
92,warren,26,28,18,15,8,9,6,7,9,9,102250,126200,126825,107500,121075,97500,127450,116900,119500,132200
93,washington,388,242,223,160,111,124,134,106,166,147,184150,180000,164900,181200,199000,196962,223950,228450.5,228330,272500
94,wayne,0,0,2,3,0,0,0,0,1,0,0,0,127500,90000,0,0,0,0,70000,0
95,weakley,11,19,8,15,7,8,12,10,10,6,178000,135500,152700,125000,129900,126500,132500,135400,137250,180700
96,white,30,46,39,34,28,27,27,14,10,14,128000,129250,120000,103950,117000,119000,139000,131000,154850,162000
97,williamson,844,949,557,584,699,1115,1440,1497,1720,1784,380988.5,436113,410000,399900,407182,389900,398412.5,412185,414707,454903
98,wilson,655,625,441,493,441,542,733,728,530,411,255000,249000,232655,222500,229990,227297.5,265300,304951.5,309900,304172
