,county,latitude,longitude,Avg_Dist
16494,anderson,36.2,-84.04,32775.8202301
16173,bedford,35.59,-86.35,4503.07308174
16773,benton,36.23,-88.08,6487.14131773
16404,bledsoe,35.6,-85.19,7292.58066901
16493,blount,35.79,-83.97,32816.0572144
16351,bradley,35.28,-84.76,11929.3992815
16501,campbell,36.26,-84.3,31491.2410383
16170,cannon,35.94,-86.09,3725.96614387
16771,carroll,36.13,-88.51,20598.1817701
16466,carter,36.33,-82.23,24372.8834957
16169,cheatham,36.27,-87.05,2648.64961119
16826,chester,35.38,-88.42,24581.1087315
16495,claiborne,36.54,-83.67,6267.53361923
16926,clay,36.54,-85.5,7261.12321676
16500,cocke,36.04,-83.18,20278.6617836
16171,coffee,35.64,-86.2,4715.03920944
16645,crockett,35.78,-89.11,11659.9470799
16508,cumberland,35.9,-84.88,10241.6686796
16165,davidson,36.04,-86.64,14510.6389572
16810,decatur,35.44,-88.1,8638.09434769
16166,dekalb,36.07,-86.03,4081.66775279
16181,dickson,36.05,-87.31,2239.8473736
16649,dyer,36.16,-89.43,13430.7135713
16651,fayette,35.36,-89.57,2901.34616867
16914,fentress,36.38,-84.88,10256.9565497
16347,franklin,35.12,-86.18,11911.4269637
16784,gibson,36.19,-89.01,14624.5836852
16879,giles,35.04,-86.82,7518.91422463
16496,grainger,36.34,-83.28,36891.598145
16457,greene,36.23,-82.75,2206.55710194
16342,grundy,35.42,-85.72,23268.5350781
16544,hamblen,36.15,-83.2,19232.5249604
16343,hamilton,35.01,-85.0,8604.49007929
16535,hancock,36.57,-83.06,22833.6162552
16650,hardeman,35.26,-88.99,13429.5514763
16820,hardin,35.03,-88.29,10404.1439054
16465,hawkins,36.52,-82.71,26091.4549562
16653,haywood,35.59,-89.25,13890.0300716
16822,henderson,35.63,-88.23,23274.1788492
16774,henry,36.42,-88.17,18040.0559903
16177,hickman,35.94,-87.34,3030.20742173
16208,houston,36.31,-87.7,4929.24117945
16225,humphreys,35.94,-87.76,13280.0197256
16921,jackson,36.22,-85.66,24422.560328
16510,jefferson,36.02,-83.41,18107.8267293
16463,johnson,36.31,-82.0,25604.0444258
16506,knox,36.12,-83.8,9121.53982862
16700,lake,36.33,-89.47,29690.8830378
16670,lauderdale,35.83,-89.4,27630.4981633
16886,lawrence,35.32,-87.3,26956.2238954
16891,lewis,35.55,-87.55,13915.6595945
16266,lincoln,35.31,-86.63,7663.82711861
16520,loudon,35.65,-84.17,14269.5957334
16229,macon,36.52,-86.03,3793.41410556
16804,madison,35.63,-88.82,7281.61107885
16380,marion,35.03,-85.52,10221.261116
16172,marshall,35.4,-86.71,8223.15094745
16876,maury,35.62,-87.04,16354.5560604
16344,mcminn,35.45,-84.6,12732.500804
16809,mcnairy,35.23,-88.38,10699.2993964
16362,meigs,35.52,-84.79,14200.6540895
16355,monroe,35.26,-84.3,14751.7824069
16164,montgomery,36.58,-87.06,18516.0343582
16390,moore,35.28,-86.35,6362.28104813
16505,morgan,36.02,-84.43,7757.58864708
16779,obion,36.26,-89.32,32895.3236893
16917,overton,36.51,-85.32,26688.9190567
16238,perry,35.61,-87.84,12149.1030474
16924,pickett,36.57,-85.13,8282.09854171
16348,polk,35.17,-84.65,12788.5319186
16911,putnam,36.15,-85.5,8453.02343798
16361,rhea,35.49,-85.01,20629.490024
16524,roane,35.93,-84.56,29778.3896402
16184,robertson,36.55,-87.0,18689.4713157
16189,rutherford,35.7,-86.34,534.817458344
16516,scott,36.33,-84.6,2967.8840584
16367,sequatchie,35.37,-85.38,8762.22468037
16519,sevier,35.72,-83.49,15983.9720103
16449,shelby,35.1,-90.0,0.0
16182,smith,36.25,-85.94,4531.30711011
16175,stewart,36.59,-87.78,15272.4503293
16458,sullivan,36.53,-82.32,42082.5321875
16174,sumner,36.5,-86.3,11098.0500022
16647,tipton,35.44,-89.77,40540.6014104
16221,trousdale,36.39,-86.15,3672.9284624
16469,unicoi,36.14,-82.41,8285.46089926
16545,union,36.2,-83.74,34345.2812337
16956,van_buren,35.74,-85.45,4649.55325637
16242,warren,35.68,-85.77,6350.20324367
16451,washington,36.33,-82.36,24745.3747426
16878,wayne,35.38,-87.99,7708.11089262
16777,weakley,36.27,-88.69,10251.0120856
16934,white,35.85,-85.51,24685.9093152
16168,williamson,35.88,-86.63,2090.98557531
16218,wilson,36.08,-86.4,20397.1655983
