,PC1,PC2,PC3
anderson,-7.332806336227821,2.3832069824673043,-1.4627528230854496
bedford,16.606917190742593,-1.75464132010231,-1.4166577954598376
benton,-4.443340686828165,-2.766427230957507,-0.5754574309900884
bledsoe,-2.6635619781135746,-2.7074375507810253,-3.6248588227669365
blount,3.629523956742479,4.585776112370853,-1.5041899766334457
bradley,0.006174218052344749,3.4209391225048384,-2.553214942726967
campbell,-8.624535978780255,1.6622362345365835,-2.081417049002362
cannon,0.8360368854543078,-1.24807731171319,-4.083825447896633
carroll,3.616707126172013,-6.814512768670889,5.789248861028196
carter,-7.197444706499139,1.7363704454575133,-3.013973260403572
cheatham,-5.463331980736638,1.6857792882791842,-1.8175769371822144
chester,-5.656153935238522,-2.333820111849826,-0.28986244125798466
claiborne,6.288910481752476,-0.9604606076002922,-3.9012555730747582
clay,-5.341116247173479,-3.578209858946028,-4.043852831294088
cocke,-2.5556501049931484,0.3984230574966433,-2.979129454244516
coffee,3.035992766013197,0.0017435865937152906,0.10501805474898768
crockett,-6.854242218328407,-4.645187263316346,6.450614492478524
cumberland,2.6134582505913895,1.1629608238445286,-1.331401037892822
davidson,-6.5962356889079015,22.25117102388344,7.15581333634138
decatur,-5.019564379393341,-3.2501904258055876,-2.2110162943719867
dekalb,-1.2615442415137421,-0.6892812917177569,-2.206828437773832
dickson,10.080654625823058,-0.10099651808649343,-3.0669324321441964
dyer,-4.126517680358909,-4.196369767349827,11.502666195068963
fayette,5.815291033413483,-3.9785160958521884,11.561805582495994
fentress,-3.5718007994653593,-1.040406067081943,-3.1359310745054287
franklin,2.2531553513760842,-0.3068181476163485,0.14587343045586562
gibson,4.510026096034371,-5.882744516398639,16.18826892244717
giles,23.13174378180978,-4.305810164368921,-3.5922955497511166
grainger,2.748495735145558,0.04406297181353769,-4.742198596315995
greene,33.08896420086387,1.3643157670940054,-6.384171503973468
grundy,-10.37964591857401,-1.3552995060541564,-3.0917456320153978
hamblen,-4.6041728863916065,2.052227735850537,-1.9415425258409558
hamilton,-4.445827011681716,10.97954322350144,1.4689755503110962
hancock,-5.864261315113212,-3.612899701781666,-4.432019196250623
hardeman,0.9633946244956493,-5.335046245337162,4.291089928274037
hardin,-0.8555217304764761,-3.2354605056151726,2.5367105059594985
hawkins,13.97799541085158,0.31480437923122884,-5.10916997810951
haywood,-4.767164859216101,-5.852755275297752,12.847002263995618
henderson,7.574831059476007,-5.140655883813423,3.0872819592603062
henry,6.393210263954428,-5.47050092680723,7.1109485869390205
hickman,0.2765266406288424,-1.921991894303579,-2.595202671363074
houston,-8.483947180790405,-1.7996355147770886,-2.3985112779169384
humphreys,-0.7369950612102477,-3.4644126364836065,-1.0636219914105265
jackson,-3.610236294542397,-2.3415909726592115,-3.5766622636919436
jefferson,3.7580593861669978,2.0435837356757576,-4.439704395861935
johnson,-6.632750453996783,0.05206063450362031,-4.230062095474658
knox,2.1287320512988104,13.880122717715857,1.8174945886976916
lake,-12.112552657896375,-6.033372291533387,3.1508562113635015
lauderdale,-3.709202729625896,-6.812607057379512,10.382813190245205
lawrence,20.124815764458432,-4.245957852564306,1.523894508884498
lewis,-10.744463046623137,-1.349810562466381,-3.1034291867831456
lincoln,21.35218192143237,-3.4922937382869885,-2.4984794144300775
loudon,-2.376659659591335,3.821383870190658,-2.1863776337527017
