,County,Population_2010,Population_2000,Population_1990,Population_1980,Population_1970,Housing_2010,Housing_2000,Housing_1990,Housing_1980,Housing_1970
3,anderson,"75,129","71,330","68,250","67,346","60,300","34,717","32,451","29,323","25,849","20,451"
4,bedford,"45,058","37,586","30,411","27,916","25,039","18,360","14,990","12,638","10,814","8,820"
5,benton,"16,489","16,537","14,524","14,901","12,126","8,975","8,595","7,107","6,526","4,637"
6,bledsoe,"12,876","12,367","9,669","9,478","7,643","5,718","5,142","3,771","3,406","2,357"
7,blount,"123,010","105,823","85,969","77,770","63,744","55,266","47,059","36,532","30,836","21,835"
8,bradley,"98,963","87,965","73,712","67,547","50,686","41,395","36,820","29,562","24,705","16,446"
9,campbell,"40,716","39,854","35,079","34,923","26,045","19,966","18,527","14,817","13,250","8,916"
10,cannon,"13,801","12,826","10,467","10,234","8,467","6,037","5,420","4,368","4,002","3,075"
11,carroll,"28,522","29,473","27,514","28,285","25,741","13,184","13,055","11,783","11,306","9,401"
12,carter,"57,424","56,742","51,505","50,205","43,259","27,746","25,920","21,779","19,315","14,721"
13,cheatham,"39,105","35,912","27,140","21,616","13,199","15,663","13,508","10,297","7,481","4,223"
14,chester,"17,131","15,540","12,819","12,727","9,927","6,980","6,178","4,944","4,470","3,243"
15,claiborne,"32,213","29,862","26,137","24,595","19,420","14,859","13,262","10,711","9,385","6,484"
16,clay,"7,861","7,976","7,238","7,676","6,624","4,282","3,959","3,340","3,015","2,383"
17,cocke,"35,662","33,565","29,141","28,792","25,283","17,459","15,844","12,282","11,305","8,159"
18,coffee,"52,796","48,014","40,339","38,311","32,572","23,434","20,746","16,786","14,992","11,104"
19,crockett,"14,586","14,532","13,378","14,941","14,402","6,425","6,138","5,521","5,655","5,028"
20,cumberland,"56,053","46,802","34,736","28,676","20,733","28,151","22,442","15,864","10,998","6,766"
21,davidson,"626,681","569,892","510,786","477,811","447,877","283,978","252,978","229,065","187,430","147,269"
22,decatur,"11,757","11,731","10,472","10,857","9,457","6,873","6,448","5,346","4,877","3,804"
23,dekalb,"18,723","17,423","14,360","13,589","11,151","9,405","8,409","6,694","6,080","4,374"
24,dickson,"49,666","43,156","35,061","30,037","21,977","20,820","17,614","14,149","11,140","7,563"
25,dyer,"38,335","37,279","34,854","34,663","30,427","16,703","16,123","14,384","13,332","10,680"
26,fayette,"38,413","28,796","25,559","25,305","22,692","15,669","11,210","9,115","8,152","5,947"
