"",,Housing,in square,Population,unit,2000 to,1990 to,1980 to,2000 to,1990 to,1980 to
"",Population,units,miles,density,density,2010,2000,1990,2010,2000,1990
Tennessee,"6,346,105","2,812,133","41,234 .90",153 .9,68 .2,11 .5,16 .7,6 .2,15 .3,20 .4,15 .9
Anderson County,"75,129","34,717",337 .16,222 .8,103 .0,5 .3,4 .5,1 .3,7 .0,10 .7,13 .4
Bedford County,"45,058","18,360",473 .64,95 .1,38 .8,19 .9,23 .6,8 .9,22 .5,18 .6,16 .9
Benton County,"16,489","8,975",394 .14,41 .8,22 .8,–0 .3,13 .9,–2 .5,4 .4,20 .9,8 .9
Bledsoe County,"12,876","5,718",406 .42,31 .7,14 .1,4 .1,27 .9,2 .0,11 .2,36 .4,10 .7
Blount County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"123,010","55,266",558 .71,220 .2,98 .9,16 .2,23 .1,10 .5,17 .4,28 .8,18 .5
Bradley County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"98,963","41,395",328 .76,301 .0,125 .9,12 .5,19 .3,9 .1,12 .4,24 .6,19 .7
Campbell County,"40,716","19,966",480 .19,84 .8,41 .6,2 .2,13 .6,0 .4,7 .8,25 .0,11 .8
Cannon County,"13,801","6,037",265 .64,52 .0,22 .7,7 .6,22 .5,2 .3,11 .4,24 .1,9 .1
Carroll County,"28,522","13,184",599 .25,47 .6,22 .0,–3 .2,7 .1,–2 .7,1 .0,10 .8,4 .2
Carter County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"57,424","27,746",341 .20,168 .3,81 .3,1 .2,10 .2,2 .6,7 .0,19 .0,12 .8
Cheatham County,"39,105","15,663",302 .44,129 .3,51 .8,8 .9,32 .3,25 .6,16 .0,31 .2,37 .6
Chester County,"17,131","6,980",285 .74,60 .0,24 .4,10 .2,21 .2,0 .7,13 .0,25 .0,10 .6
Claiborne County,"32,213","14,859",434 .58,74 .1,34 .2,7 .9,14 .3,6 .3,12 .0,23 .8,14 .1
Clay County,"7,861","4,282",236 .54,33 .2,18 .1,–1 .4,10 .2,–5 .7,8 .2,18 .5,10 .8
Cocke County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"35,662","17,459",434 .57,82 .1,40 .2,6 .2,15 .2,1 .2,10 .2,29 .0,8 .6
Coffee County,"52,796","23,434",428 .96,123 .1,54 .6,10 .0,19 .0,5 .3,13 .0,23 .6,12 .0
Crockett County,"14,586","6,425",265 .53,54 .9,24 .2,0 .4,8 .6,–10 .5,4 .7,11 .2,–2 .4
Cumberland County,"56,053","28,151",681 .03,82 .3,41 .3,19 .8,34 .7,21 .1,25 .4,41 .5,44 .2
Davidson County,"626,681","283,978",504 .03,"1,243 .3",563 .4,10 .0,11 .6,6 .9,12 .3,10 .4,22 .2
Decatur County,"11,757","6,873",333 .84,35 .2,20 .6,0 .2,12 .0,–3 .5,6 .6,20 .6,9 .6
DeKalb County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"18,723","9,405",304 .35,61 .5,30 .9,7 .5,21 .3,5 .7,11 .8,25 .6,10 .1
Dickson County,"49,666","20,820",489 .90,101 .4,42 .5,15 .1,23 .1,16 .7,18 .2,24 .5,27 .0
Dyer County,"38,335","16,703",512 .33,74 .8,32 .6,2 .8,7 .0,0 .6,3 .6,12 .1,7 .9
Fayette County,"38,413","15,669",704 .79,54 .5,22 .2,33 .4,12 .7,1 .0,39 .8,23 .0,11 .8
Fentress County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"17,959","8,961",498 .61,36 .0,18 .0,8 .0,13 .3,–1 .1,17 .9,24 .2,9 .2
Franklin County,"41,052","18,697",554 .54,74 .0,33 .7,4 .5,13 .1,8 .6,11 .2,22 .6,18 .4
Gibson County,"49,683","21,999",602 .74,82 .4,36 .5,3 .2,4 .0,–6 .4,4 .5,7 .3,0 .3
Giles County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"29,485","13,844",610 .93,48 .3,22 .7,0 .1,14 .4,4 .5,5 .6,21 .1,13 .3
Grainger County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"22,657","10,894",280 .60,80 .7,38 .8,9 .7,20 .8,2 .1,11 .9,29 .7,5 .9
Greene County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"68,831","32,025",622 .16,110 .6,51 .5,9 .4,12 .6,2 .6,13 .9,20 .8,10 .1
Grundy County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"13,703","6,397",360 .53,38 .0,17 .7,–4 .4,7 .3,–3 .1,1 .8,21 .9,0 .4
Hamblen County,"62,544","26,963",161 .18,388 .0,167 .3,7 .6,15 .2,2 .4,9 .2,20 .4,11 .1
Hamilton County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"336,463","151,107",542 .43,620 .3,278 .6,9 .3,7 .8,–0 .7,12 .2,9 .9,11 .2
Hancock County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"6,819","3,624",222 .34,30 .7,16 .3,0 .6,0 .7,–2 .1,10 .6,13 .5,7 .6
Hardeman County,"27,253","10,851",667 .77,40 .8,16 .2,–3 .0,20 .2,–2 .1,1 .5,16 .6,9 .1
Hardin County,"26,026","13,946",577 .32,45 .1,24 .2,1 .8,13 .0,1 .6,8 .9,24 .6,14 .8
Hawkins County,"56,833","26,870",486 .98,116 .7,55 .2,6 .1,20 .2,1 .9,10 .1,30 .0,10 .4
Haywood County,"18,787","8,315",533 .11,35 .2,15 .6,–5 .1,1 .9,–4 .3,2 .8,8 .2,6 .1
Henderson County,"27,769","12,776",520 .07,53 .4,24 .6,8 .8,16 .8,2 .1,11 .6,23 .4,11 .8
Henry County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"32,330","17,054",562 .10,57 .5,30 .3,3 .9,11 .6,–2 .7,8 .1,14 .6,2 .1
Hickman County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"24,690","10,311",612 .50,40 .3,16 .8,10 .7,33 .1,10 .6,15 .8,33 .7,18 .2
Houston County,"8,426","4,188",200 .29,42 .1,20 .9,4 .2,15 .2,2 .1,7 .4,26 .5,10 .2
