,zipcode,primary_city,acceptable_cities,unacceptable_cities,county,latitude,longitude
16164,37010,adams,,,montgomery,36.58,-87.06
16165,37011,antioch,,,davidson,36.04,-86.64
16166,37012,alexandria,,,dekalb,36.07,-86.03
16167,37013,antioch,Cane Ridge,,davidson,36.04,-86.64
16168,37014,arrington,,Triune,williamson,35.88,-86.63
16169,37015,ashland_city,,,cheatham,36.27,-87.05
16170,37016,auburntown,,,cannon,35.94,-86.09
16171,37018,beechgrove,,,coffee,35.64,-86.2
16172,37019,belfast,,,marshall,35.4,-86.71
16173,37020,bell_buckle,,,bedford,35.59,-86.35
16174,37022,bethpage,Rock Bridge,,sumner,36.5,-86.3
16175,37023,big_rock,,,stewart,36.59,-87.78
16176,37024,brentwood,,,williamson,35.99,-86.78
16177,37025,bon_aqua,,,hickman,35.94,-87.34
16178,37026,bradyville,,,cannon,35.69,-86.1
16179,37027,brentwood,,Forest Hills,williamson,35.99,-86.78
16180,37028,bumpus_mills,,,stewart,36.62,-87.85
16181,37029,burns,,,dickson,36.05,-87.31
16182,37030,carthage,"Defeated, So Carthage, South Carthage",Mc Clures Bend,smith,36.25,-85.94
16183,37031,castalian_springs,Castalin Spgs,Castalian Spg,sumner,36.38,-86.31
16184,37032,cedar_hill,,,robertson,36.55,-87.0
16185,37033,centerville,Pleasantville,"Aetna, Coble, Fairfield, Grinders, Shipps Bend",hickman,35.79,-87.44
16186,37034,chapel_hill,,,marshall,35.62,-86.69
16187,37035,chapmansboro,,,cheatham,36.37,-87.11
16188,37036,charlotte,,,dickson,36.18,-87.34
16189,37037,christiana,,,rutherford,35.7,-86.34
16190,37040,clarksville,,,montgomery,36.56,-87.34
16191,37041,clarksville,,,montgomery,36.56,-87.34
16192,37042,clarksville,,Sango,montgomery,36.57,-87.42
16193,37043,clarksville,,"Fredonia, Hickory Point, Hilldale",montgomery,36.49,-87.24
16194,37044,clarksville,,Austin Peay St Univ,montgomery,36.56,-87.34
16195,37046,college_grove,,"Allisona, Bethesda",williamson,35.77,-86.74
16196,37047,cornersville,,,marshall,35.35,-86.84
16197,37048,cottontown,Walnut Grove,,sumner,36.48,-86.59
16198,37049,cross_plains,,,robertson,36.54,-86.68
16199,37050,cumberland_city,Cumberlnd Cty,,stewart,36.38,-87.64
16200,37051,cumberland_furnace,Cmbrlnd Frnce,,dickson,36.3,-87.4
16201,37052,cunningham,,,montgomery,36.37,-87.43
16202,37055,dickson,,,dickson,36.07,-87.37
16203,37056,dickson,,,dickson,36.07,-87.37
16204,37057,dixon_springs,,,smith,36.4,-86.04
16205,37058,dover,,Fort Donelson National Milit,stewart,36.48,-87.84
16206,37059,dowelltown,,,dekalb,36.01,-85.94
16207,37060,eagleville,,,rutherford,35.74,-86.65
16208,37061,erin,,,houston,36.31,-87.7
16209,37062,fairview,,,williamson,35.97,-87.12
16210,37063,fosterville,,,rutherford,35.65,-86.4
16211,37064,franklin,,"Kingfield, Peytonsville, Rudderville",williamson,35.88,-86.95
16212,37065,franklin,,,williamson,35.92,-86.84
16213,37066,gallatin,,,sumner,36.37,-86.45
16214,37067,franklin,,,williamson,35.92,-86.84
16215,37068,franklin,,,williamson,35.92,-86.84
16216,37069,franklin,,,williamson,35.99,-86.9
16217,37070,goodlettsville,Goodlettsvlle,"Goodlettsvl, Goodlettsvle",davidson,36.33,-86.7
16218,37071,gladeville,,,wilson,36.08,-86.4
16219,37072,goodlettsville,Goodlettsvlle,Millersville,davidson,36.33,-86.7
16220,37073,greenbrier,,,robertson,36.42,-86.8
16221,37074,hartsville,,,trousdale,36.39,-86.15
16222,37075,hendersonville,Hendersonvlle,,sumner,36.29,-86.6
16223,37076,hermitage,,,davidson,36.13,-86.58
16224,37077,hendersonville,Hendersonvlle,,sumner,36.29,-86.6
16225,37078,hurricane_mills,Hurricne Mlls,,humphreys,35.94,-87.76
16226,37079,indian_mound,,,stewart,36.47,-87.66
16227,37080,joelton,,,davidson,36.33,-86.91
16228,37082,kingston_springs,Kingston Spgs,,cheatham,36.09,-87.1
16229,37083,lafayette,,La Fayette,macon,36.52,-86.03
16230,37085,lascassas,,,rutherford,35.94,-86.29
16231,37086,la_vergne,,,rutherford,35.99,-86.57
16232,37087,lebanon,,,wilson,36.2,-86.32
16233,37088,lebanon,,,wilson,36.2,-86.32
16234,37089,la_vergne,,Ingram Entertainment Group,rutherford,35.99,-86.57
16235,37090,lebanon,,,wilson,36.11,-86.3
16236,37091,lewisburg,,,marshall,35.44,-86.78
16237,37095,liberty,Gassaway,,dekalb,36.0,-85.98
16238,37096,linden,Flatwoods,,perry,35.61,-87.84
16239,37097,lobelville,,,perry,35.75,-87.79
16240,37098,lyles,Wrigley,,hickman,35.87,-87.32
16241,37101,mc_ewen,,Mcewen,humphreys,36.1,-87.63
16242,37110,mcminnville,"Centertown, Mc Minnville",,warren,35.68,-85.77
16243,37111,mcminnville,Mc Minnville,"Mc Minnvl, Mc Minnvle",warren,35.68,-85.77
16244,37115,madison,,,davidson,36.25,-86.69
16245,37116,madison,,,davidson,36.25,-86.69
16246,37118,milton,,,rutherford,35.92,-86.17
16247,37119,mitchellville,,,sumner,36.63,-86.53
16248,37121,mount_juliet,,Mt Juliet,wilson,36.2,-86.52
16249,37122,mount_juliet,,,wilson,36.2,-86.52
16250,37127,murfreesboro,,"Mboro, Murfreesbr",rutherford,35.78,-86.33
16251,37128,murfreesboro,,"Mboro, Murfreesbr",rutherford,35.78,-86.49
16252,37129,murfreesboro,,"Mboro, Murfreesbr",rutherford,35.93,-86.44
16253,37130,murfreesboro,,"Mboro, Murfreesbr",rutherford,35.85,-86.39
16254,37131,murfreesboro,,"Mboro, Murfreesbr, State Farm Ins Co",rutherford,35.85,-86.39
16255,37132,murfreesboro,,"Mboro, Middle Tenn State Univ, Murfreesbr",rutherford,35.85,-86.36
16256,37133,murfreesboro,,"Mboro, Murfreesbr",rutherford,35.85,-86.39
16257,37134,new_johnsonville,"Denver, New Johsonvle",,humphreys,36.01,-87.95
16258,37135,nolensville,,,williamson,35.94,-86.64
16259,37136,norene,,,wilson,36.11,-86.29
16260,37137,nunnelly,,,hickman,35.89,-87.52
16261,37138,old_hickory,Lakewood,,davidson,36.22,-86.61
16262,37140,only,,,hickman,35.87,-87.65
16263,37141,orlinda,,,robertson,36.6,-86.67
16264,37142,palmyra,,,montgomery,36.41,-87.5
16265,37143,pegram,,,cheatham,36.1,-87.05
16266,37144,petersburg,,,lincoln,35.31,-86.63
